,0
223,15.404991
224,15.364127
225,15.3468
226,15.346312
227,15.364007
228,15.393621
229,15.430872
230,15.463148
231,15.502419
232,15.550628
233,15.589158
234,15.615633
235,15.620061
236,15.622287
237,15.608001
238,15.591203
239,15.565189
240,15.5370245
241,15.485955
242,15.4204855
243,15.340971
244,15.257137
245,15.145479
246,15.041705
247,14.92839
248,14.793629
249,14.665437
250,14.523991
251,14.402619
252,14.296187
253,14.199389
254,14.122241
255,14.06667
256,14.044541
257,14.044748
258,14.061217
259,14.094211
260,14.143171
261,14.191141
262,14.235865
263,14.28296
264,14.338216
265,14.387668
266,14.430903
267,14.448746
268,14.456852
269,14.451673
270,14.420612
271,14.383783
272,14.349187
273,14.327797
274,14.303586
275,14.269309
276,14.238218
277,14.210667
278,14.192286
279,14.160852
280,14.143809
281,14.13159
282,14.125239
283,14.143511
284,14.1799
285,14.248942
286,14.344536
287,14.4549465
288,14.5683565
289,14.594446
290,14.581415
291,14.53459
292,14.470246
293,14.415753
294,14.357997
295,14.298235
296,14.239176
297,14.171369
298,14.086449
299,13.988616
300,13.893683
301,13.80809
302,13.731387
303,13.652326
304,13.573697
305,13.498397
306,13.429589
307,13.368751
308,13.304034
309,13.239325
310,13.164945
311,13.087411
312,12.995368
313,12.889607
314,12.7925205
315,12.700138
316,12.625966
317,12.563887
318,12.507446
319,12.460312
320,12.427486
321,12.404717
322,12.391869
323,12.378302
324,12.363603
325,12.340341
326,12.3142185
327,12.299253
328,12.313095
329,12.34243
330,12.387419
331,12.435506
332,12.485991
333,12.546462
334,12.606669
335,12.650531
336,12.689202
337,12.734781
338,12.777411
339,12.814726
340,12.851859
341,12.893042
342,12.929387
343,12.975099
344,13.018035
345,13.061056
346,13.107811
347,13.153193
348,13.197253
349,13.227408
350,13.239344
351,13.243613
352,13.244926
353,13.2434225
354,13.237303
355,13.247601
356,13.25869
357,13.285935
358,13.321397
359,13.362549
360,13.408858
361,13.456606
362,13.503036
363,13.53312
364,13.558837
365,13.593462
366,13.637592
367,13.694714
368,13.779495
369,13.879001
370,13.974123
371,14.073334
372,14.167412
373,14.260668
374,14.350395
375,14.434762
376,14.512724
377,14.5872965
378,14.682385
379,14.779921
380,14.87752
381,14.977716
382,15.065456
383,15.1335745
384,15.187843
385,15.229656
386,15.265377
387,15.316156
388,15.363042
389,15.414652
390,15.4599085
391,15.506794
392,15.563502
393,15.620493
394,15.675923
395,15.728484
396,15.778806
397,15.826272
398,15.871302
399,15.912813
400,15.953088
401,15.990379
402,16.03539
403,16.09095
404,16.151657
405,16.224285
406,16.293148
407,16.357254
408,16.42069
409,16.481382
410,16.539635
411,16.61149
412,16.656504
413,16.69946
414,16.730867
415,16.753904
416,16.767784
417,16.729845
418,16.660727
419,16.589413
420,16.525629
421,16.468529
422,16.413448
423,16.369085
424,16.335808
425,16.30769
426,16.275978
427,16.242266
428,16.190447
429,16.130892
430,16.07625
431,16.021755
432,15.96333
433,15.911907
434,15.857349
435,15.806083
436,15.759641
437,15.721794
438,15.679797
439,15.630901
440,15.577212
441,15.531772
442,15.490103
443,15.455959
444,15.44971
445,15.457396
446,15.474212
447,15.504337
448,15.544834
449,15.592543
450,15.643408
451,15.71058
452,15.790977
453,15.87829
454,15.970771
455,16.070507
456,16.171442
457,16.261717
458,16.358109
459,16.456423
460,16.554373
461,16.659262
462,16.78968
463,16.926594
464,17.064812
465,17.206572
466,17.337568
467,17.495905
468,17.665249
469,17.856709
470,18.052597
471,18.232422
472,18.403536
473,18.591324
474,18.763317
475,18.887693
476,19.01098
477,19.108711
478,19.17357
479,19.205389
480,19.236559
481,19.265778
482,19.314428
483,19.386652
484,19.464714
485,19.561287
486,19.679161
487,19.820301
488,19.970673
489,20.120777
490,20.25099
491,20.381033
492,20.52672
493,20.669132
494,20.797068
495,20.912594
496,21.039604
497,21.166552
498,21.281704
499,21.394804
500,21.465689
501,21.512377
502,21.524187
503,21.52127
504,21.538633
505,21.555767
506,21.573702
507,21.601042
508,21.612984
509,21.607235
510,21.597649
511,21.568003
512,21.520493
513,21.451775
514,21.398287
515,21.359653
516,21.306108
517,21.275682
518,21.27371
519,21.285738
520,21.290411
521,21.27114
522,21.251883
523,21.258974
524,21.2955
525,21.354927
526,21.431284
527,21.513334
528,21.573725
529,21.649826
530,21.734827
531,21.831509
532,21.919565
533,21.994558
534,22.052607
535,22.11078
536,22.175167
537,22.304306
538,22.500751
539,22.722275
540,22.98013
541,23.269852
542,23.58925
543,23.867697
544,24.103323
545,24.283697
546,24.40926
547,24.44712
548,24.321098
549,24.087944
550,23.694311
551,23.29617
552,22.891819
553,22.400015
554,21.920485
555,21.427305
556,20.933723
557,20.436567
558,19.93639
559,19.451967
560,18.996634
561,18.566355
562,18.164839
563,17.791258
564,17.432552
565,17.129175
566,16.900566
567,16.687822
568,16.494846
569,16.342463
570,16.233389
571,16.174295
572,16.151432
573,16.17419
574,16.235535
575,16.321123
576,16.423853
577,16.543236
578,16.67217
579,16.796385
580,16.901735
581,17.010592
582,17.12291
583,17.225384
584,17.332588
585,17.430248
586,17.530901
587,17.660685
588,17.80284
589,17.962341
590,18.137743
591,18.29811
592,18.456625
593,18.612204
594,18.754507
595,18.8936
596,19.039263
597,19.207888
598,19.382301
599,19.543339
600,19.671015
601,19.780296
602,19.8475
603,19.90143
604,19.941862
605,19.939846
606,19.907854
607,19.84021
608,19.748451
609,19.621574
610,19.49849
611,19.36691
612,19.246801
613,19.15192
614,19.063635
615,19.016348
616,18.978828
617,18.965925
618,18.960026
619,18.947298
620,18.934647
621,18.93075
622,18.94181
623,18.935516
624,18.934914
625,18.929037
626,18.923048
627,18.938286
628,18.995573
629,19.067892
630,19.144361
631,19.230633
632,19.315245
633,19.398975
634,19.48303
635,19.608234
636,19.741392
637,19.872818
638,20.061571
639,20.311773
